Time,Channel1
0.00071,0.98658
0.00072,0.98658
0.00073,0.98658
0.00074,0.98658
0.00075,0.98658
0.00076,0.98658
0.00077,0.98658
0.00078,0.82215
0.00079,0.98658
0.0008,0.98658
0.00081,0.98658
0.00082,0.98658
0.00083,0.98658
0.00084,0.98658
0.00085,0.98658
0.00086,0.82215
0.00087,0.82215
0.00088,0.98658
0.00089,0.82215
0.0009,0.98658
0.00091,0.98658
0.00092,0.82215
0.00093,0.82215
0.00094,0.82215
0.00095,0.98658
0.00096,0.82215
0.00097,0.82215
0.00098,0.82215
0.00099,0.82215
0.001,0.82215
0.00101,0.82215
0.00102,0.82215
0.00103,0.82215
0.00104,0.82215
0.00105,0.82215
0.00106,0.82215
0.00107,0.65772
0.00108,0.82215
0.00109,0.82215
0.0011,0.82215
0.00111,0.65772
0.00112,0.82215
0.00113,0.65772
0.00114,0.82215
0.00115,0.82215
0.00116,0.82215
0.00117,0.82215
0.00118,0.65772
0.00119,0.82215
0.0012,0.82215
0.00121,0.65772
0.00122,0.65772
0.00123,0.65772
0.00124,0.65772
0.00125,0.82215
0.00126,0.65772
0.00127,0.65772
0.00128,0.82215
0.00129,0.65772
0.0013,0.65772
0.00131,0.65772
0.00132,0.65772
0.00133,0.65772
0.00134,0.65772
0.00135,0.65772
0.00136,0.65772
0.00137,0.65772
0.00138,0.49329
0.00139,0.65772
0.0014,0.65772
0.00141,0.65772
0.00142,0.65772
0.00143,0.49329
0.00144,0.49329
0.00145,0.49329
0.00146,0.49329
0.00147,0.49329
0.00148,0.65772
0.00149,0.49329
0.0015,0.65772
0.00151,0.49329
0.00152,0.49329
0.00153,0.49329
0.00154,0.49329
0.00155,0.49329
0.00156,0.49329
0.00157,0.49329
0.00158,0.49329
0.00159,0.49329
0.0016,0.49329
0.00161,0.49329
0.00162,0.49329
0.00163,0.49329
0.00164,0.49329
0.00165,0.49329
0.00166,0.49329
0.00167,0.49329
0.00168,0.49329
0.00169,0.49329
0.0017,0.49329
0.00171,0.49329
0.00172,0.49329
0.00173,0.32886
0.00174,0.49329
0.00175,0.49329
0.00176,0.32886
0.00177,0.32886
0.00178,0.49329
0.00179,0.49329
0.0018,0.49329
0.00181,0.49329
0.00182,0.49329
0.00183,0.49329
0.00184,0.49329
0.00185,0.32886
0.00186,0.49329
0.00187,0.32886
0.00188,0.49329
0.00189,0.32886
0.0019,0.49329
0.00191,0.49329
0.00192,0.32886
0.00193,0.49329
0.00194,0.49329
0.00195,0.32886
0.00196,0.32886
0.00197,0.32886
0.00198,0.49329
0.00199,0.32886
0.002,0.32886
0.00201,0.32886
0.00202,0.32886
0.00203,0.49329
0.00204,0.32886
0.00205,0.32886
0.00206,0.32886
0.00207,0.32886
0.00208,0.32886
0.00209,0.32886
0.0021,0.32886
0.00211,0.32886
0.00212,0.32886
0.00213,0.32886
0.00214,0.32886
0.00215,0.32886
0.00216,0.32886
0.00217,0.32886
0.00218,0.32886
0.00219,0.32886
0.0022,0.32886
0.00221,0.32886
0.00222,0.32886
0.00223,0.32886
0.00224,0.32886
0.00225,0.32886
0.00226,0.49329
0.00227,0.32886
0.00228,0.32886
0.00229,0.32886
0.0023,0.32886
0.00231,0.32886
0.00232,0.32886
0.00233,0.32886
0.00234,0.16443
0.00235,0.32886
0.00236,0.32886
0.00237,0.32886
0.00238,0.32886
0.00239,0.32886
0.0024,0.32886
0.00241,0.32886
0.00242,0.32886
0.00243,0.32886
0.00244,0.32886
0.00245,0.32886
0.00246,0.32886
0.00247,0.32886
0.00248,0.32886
0.00249,0.32886
